production_id,machine_id,operation_type,quantity_produced,processing_time_min,energy_consumption_kwh,energy_intensity,machine_availability_percent,production_date,optimization_category
J001,M01,Grinding,3.17,76,11.42,3.602523659305994,96,2023-03-18,Moderate Efficiency
J004,M04,Grinding,1.76,106,12.5,7.1022727272727275,95,2023-03-18,Moderate Efficiency
J005,M01,Lathe,1.9,46,8.13,4.278947368421053,88,2023-03-18,High Efficiency
J006,M02,Additive,4.86,100,13.83,2.8456790123456788,86,2023-03-18,Moderate Efficiency
J007,M04,Milling,4.67,22,14.2,3.0406852248394003,87,2023-03-18,Moderate Efficiency
J008,M05,Grinding,1.57,79,13.86,8.828025477707005,91,2023-03-18,Low Efficiency
J009,M02,Drilling,3.49,42,8.97,2.5702005730659025,81,2023-03-18,Moderate Efficiency
J011,M01,Lathe,3.02,65,9.98,3.304635761589404,90,2023-03-18,Low Efficiency
J013,M03,Lathe,3.1,43,5.55,1.7903225806451613,95,2023-03-18,High Efficiency
J014,M04,Additive,2.33,112,2.01,0.8626609442060085,95,2023-03-18,Optimal Efficiency
J015,M05,Additive,3.92,104,3.67,0.9362244897959183,98,2023-03-18,High Efficiency
J016,M01,Additive,2.09,65,12.29,5.880382775119617,96,2023-03-18,Low Efficiency
J017,M03,Lathe,4.3,115,9.44,2.1953488372093024,80,2023-03-18,Low Efficiency
J018,M05,Lathe,2.25,55,10.95,4.866666666666666,94,2023-03-18,Low Efficiency
J019,M02,Milling,4.62,52,3.27,0.7077922077922078,82,2023-03-18,Low Efficiency
J020,M05,Lathe,1.39,42,14.19,10.20863309352518,91,2023-03-18,Moderate Efficiency
J021,M02,Milling,3.95,107,13.73,3.4759493670886075,83,2023-03-18,Low Efficiency
J023,M01,Drilling,4.86,98,13.49,2.7757201646090532,89,2023-03-18,Low Efficiency
J026,M01,Additive,1.14,21,3.89,3.4122807017543866,97,2023-03-18,High Efficiency
J028,M03,Milling,3.21,93,4.16,1.29595015576324,98,2023-03-18,Low Efficiency
J029,M02,Milling,3.47,116,5.39,1.5533141210374637,91,2023-03-18,Low Efficiency
J030,M05,Grinding,4.62,66,10.36,2.242424242424242,89,2023-03-18,Moderate Efficiency
J031,M03,Grinding,1.7,37,3.21,1.888235294117647,96,2023-03-18,High Efficiency
J032,M03,Drilling,3.02,78,4.93,1.6324503311258276,80,2023-03-18,High Efficiency
J035,M02,Drilling,2.05,47,12.12,5.912195121951219,82,2023-03-18,Moderate Efficiency
J036,M04,Additive,1.76,99,4.72,2.6818181818181817,96,2023-03-18,Low Efficiency
J037,M01,Milling,4.6,79,13.17,2.86304347826087,88,2023-03-18,Moderate Efficiency
J038,M01,Grinding,4.77,43,4.98,1.0440251572327046,94,2023-03-18,High Efficiency
J040,M01,Lathe,2.29,50,9.94,4.3406113537117905,97,2023-03-18,Low Efficiency
J041,M04,Milling,1.15,88,11.64,10.121739130434785,82,2023-03-18,Moderate Efficiency
J042,M04,Additive,1.55,48,13.57,8.754838709677419,95,2023-03-18,Low Efficiency
J043,M03,Additive,4.84,75,4.53,0.9359504132231405,87,2023-03-18,High Efficiency
J044,M02,Lathe,1.82,109,5.67,3.1153846153846154,93,2023-03-18,Low Efficiency
J045,M02,Milling,3.52,78,3.03,0.8607954545454545,91,2023-03-18,High Efficiency
J047,M02,Drilling,1.9,25,10.09,5.310526315789474,85,2023-03-18,Moderate Efficiency
J048,M02,Lathe,3.67,75,4.12,1.122615803814714,99,2023-03-18,Low Efficiency
J049,M02,Lathe,4.43,33,7.55,1.7042889390519187,80,2023-03-18,Moderate Efficiency
