purchase_id,product_id,quantity,unit_price,purchase_date
10248,11,12,14.0,2016-07-04
10248,42,10,9.8,2016-07-04
10248,72,5,34.8,2016-07-04
10249,14,9,18.6,2016-07-05
10249,51,40,42.4,2016-07-05
10250,41,10,7.7,2016-07-08
10250,51,35,42.4,2016-07-08
10250,65,15,16.8,2016-07-08
10251,22,6,16.8,2016-07-08
10251,57,15,15.6,2016-07-08
10251,65,20,16.8,2016-07-08
10252,20,40,64.8,2016-07-09
10252,33,25,2.0,2016-07-09
10252,60,40,27.2,2016-07-09
10253,31,20,10.0,2016-07-10
10253,39,42,14.4,2016-07-10
10253,49,40,16.0,2016-07-10
10254,24,15,3.6,2016-07-11
10254,55,21,19.2,2016-07-11
10254,74,21,8.0,2016-07-11
10255,2,20,15.2,2016-07-12
10255,16,35,13.9,2016-07-12
10255,36,25,15.2,2016-07-12
10255,59,30,44.0,2016-07-12
10256,53,15,26.2,2016-07-15
10256,77,12,10.4,2016-07-15
10257,27,25,35.1,2016-07-16
10257,39,6,14.4,2016-07-16
10257,77,15,10.4,2016-07-16
10258,2,50,15.2,2016-07-17
10258,5,65,17.0,2016-07-17
10258,32,6,25.6,2016-07-17
10259,21,10,8.0,2016-07-18
10259,37,1,20.8,2016-07-18
10260,41,16,7.7,2016-07-19
10260,57,50,15.6,2016-07-19
10260,62,15,39.4,2016-07-19
10260,70,21,12.0,2016-07-19
10261,21,20,8.0,2016-07-19
10261,35,20,14.4,2016-07-19
10262,5,12,17.0,2016-07-22
10262,7,15,24.0,2016-07-22
10262,56,2,30.4,2016-07-22
10263,16,60,13.9,2016-07-23
10263,24,28,3.6,2016-07-23
10263,30,60,20.7,2016-07-23
10263,74,36,8.0,2016-07-23
10264,2,35,15.2,2016-07-24
10264,41,25,7.7,2016-07-24
10265,17,30,31.2,2016-07-25
10265,70,20,12.0,2016-07-25
10266,12,12,30.4,2016-07-26
10267,40,50,14.7,2016-07-29
10267,59,70,44.0,2016-07-29
10267,76,15,14.4,2016-07-29
10268,29,10,99.0,2016-07-30
10268,72,4,27.8,2016-07-30
10269,33,60,2.0,2016-07-31
10269,72,20,27.8,2016-07-31
10270,36,30,15.2,2016-08-01
10270,43,25,36.8,2016-08-01
10271,33,24,2.0,2016-08-01
10272,20,6,64.8,2016-08-02
10272,31,40,10.0,2016-08-02
10272,72,24,27.8,2016-08-02
10273,10,24,24.8,2016-08-05
10273,31,15,10.0,2016-08-05
10273,33,20,2.0,2016-08-05
10273,40,60,14.7,2016-08-05
10273,76,33,14.4,2016-08-05
10274,71,20,17.2,2016-08-06
10274,72,7,27.8,2016-08-06
10275,24,12,3.6,2016-08-07
10275,59,6,44.0,2016-08-07
10276,10,15,24.8,2016-08-08
10276,13,10,4.8,2016-08-08
10277,28,20,36.4,2016-08-09
10277,62,12,39.4,2016-08-09
10278,44,16,15.5,2016-08-12
10278,59,15,44.0,2016-08-12
10278,63,8,35.1,2016-08-12
10278,73,25,12.0,2016-08-12
10279,17,15,31.2,2016-08-13
10280,24,12,3.6,2016-08-14
10280,55,20,19.2,2016-08-14
10280,75,30,6.2,2016-08-14
10281,19,1,7.3,2016-08-14
10281,24,6,3.6,2016-08-14
10281,35,4,14.4,2016-08-14
10282,30,6,20.7,2016-08-15
10282,57,2,15.6,2016-08-15
10283,15,20,12.4,2016-08-16
10283,19,18,7.3,2016-08-16
10283,60,35,27.2,2016-08-16
10283,72,3,27.8,2016-08-16
10284,27,15,35.1,2016-08-19
10284,44,21,15.5,2016-08-19
10284,60,20,27.2,2016-08-19
10284,67,5,11.2,2016-08-19
10285,1,45,14.4,2016-08-20
10285,40,40,14.7,2016-08-20
10285,53,36,26.2,2016-08-20
10286,35,100,14.4,2016-08-21
10286,62,40,39.4,2016-08-21
10287,16,40,13.9,2016-08-22
10287,34,20,11.2,2016-08-22
10287,46,15,9.6,2016-08-22
10288,54,10,5.9,2016-08-23
10288,68,3,10.0,2016-08-23
10289,3,30,8.0,2016-08-26
10289,64,9,26.6,2016-08-26
10290,5,20,17.0,2016-08-27
10290,29,15,99.0,2016-08-27
10290,49,15,16.0,2016-08-27
10290,77,10,10.4,2016-08-27
10291,13,20,4.8,2016-08-27
10291,44,24,15.5,2016-08-27
10291,51,2,42.4,2016-08-27
10292,20,20,64.8,2016-08-28
10293,18,12,50.0,2016-08-29
10293,24,10,3.6,2016-08-29
10293,63,5,35.1,2016-08-29
10293,75,6,6.2,2016-08-29
10294,1,18,14.4,2016-08-30
10294,17,15,31.2,2016-08-30
10294,43,15,36.8,2016-08-30
10294,60,21,27.2,2016-08-30
10294,75,6,6.2,2016-08-30
10295,56,4,30.4,2016-09-02
10296,11,12,16.8,2016-09-03
10296,16,30,13.9,2016-09-03
10296,69,15,28.8,2016-09-03
10297,39,60,14.4,2016-09-04
10297,72,20,27.8,2016-09-04
10298,2,40,15.2,2016-09-05
10298,36,40,15.2,2016-09-05
10298,59,30,44.0,2016-09-05
10298,62,15,39.4,2016-09-05
10299,19,15,7.3,2016-09-06
10299,70,20,12.0,2016-09-06
10300,66,30,13.6,2016-09-09
10300,68,20,10.0,2016-09-09
10301,40,10,14.7,2016-09-09
10301,56,20,30.4,2016-09-09
10302,17,40,31.2,2016-09-10
