waste_id,facility_id,date,material_type,quantity_kg,treatment,is_recycled,source
1,100,2023-03-18,metal,0.188,incineration,False,production_job
2,200,2023-03-18,cotton,0.112,recycled,True,production_job
3,100,2023-03-18,paper,0.042,landfill,False,production_job
4,100,2023-03-18,cotton,0.258,incineration,False,production_job
5,100,2023-03-18,cotton,0.132,landfill,False,production_job
6,200,2023-03-18,polyester,0.071,recycled,True,production_job
7,100,2023-03-18,plastic,0.202,incineration,False,production_job
8,100,2023-03-18,cotton,0.036,incineration,False,production_job
9,100,2023-03-18,polyester,0.205,incineration,False,production_job
10,200,2023-03-18,polyester,0.128,incineration,False,production_job
11,100,2023-03-18,polyester,0.264,incineration,False,production_job
12,100,2023-03-18,silk,0.162,reused,True,production_job
13,100,2023-03-18,paper,0.125,landfill,False,production_job
14,100,2023-03-18,metal,0.025,landfill,False,production_job
15,200,2023-03-18,polyester,0.155,incineration,False,production_job
16,100,2023-03-18,plastic,0.096,landfill,False,production_job
17,200,2023-03-18,cotton,0.112,incineration,False,production_job
18,200,2023-03-18,cotton,0.286,incineration,False,production_job
19,200,2023-03-18,plastic,0.015,landfill,False,production_job
20,100,2023-03-18,plastic,0.095,landfill,False,production_job
21,200,2023-03-18,silk,0.173,incineration,False,production_job
22,100,2023-03-18,polyester,0.18,landfill,False,production_job
23,200,2023-03-18,metal,0.084,landfill,False,production_job
24,200,2023-03-18,plastic,0.187,landfill,False,production_job
25,200,2023-03-18,metal,0.15,incineration,False,production_job
26,200,2023-03-18,silk,0.057,recycled,True,production_job
27,200,2023-03-18,silk,0.063,reused,True,production_job
28,200,2023-03-18,polyester,0.078,landfill,False,production_job
29,200,2023-03-18,metal,0.131,incineration,False,production_job
30,200,2023-03-18,cotton,0.062,landfill,False,production_job
31,100,2023-03-18,polyester,0.081,incineration,False,production_job
32,100,2023-03-18,plastic,0.303,recycled,True,production_job
33,200,2023-03-18,silk,0.033,reused,True,production_job
34,200,2023-03-18,cotton,0.049,incineration,False,production_job
35,200,2023-03-18,plastic,0.117,incineration,False,production_job
36,100,2023-03-18,polyester,0.067,landfill,False,production_job
37,200,2023-03-18,cotton,0.304,recycled,True,production_job
