facility_id,date,treatment,total_waste_kg,n_records
100,2023-03-18,incineration,1.441,10
100,2023-03-18,landfill,1.045,12
100,2023-03-18,recycled,0.693,5
100,2023-03-18,reused,1.058,5
100,2023-03-19,incineration,2.242,13
100,2023-03-19,landfill,3.161,23
100,2023-03-19,recycled,0.907,7
100,2023-03-19,reused,0.20400000000000001,2
100,2023-03-20,incineration,1.808,12
100,2023-03-20,landfill,4.152,31
100,2023-03-20,recycled,1.527,11
100,2023-03-20,reused,0.696,7
100,2023-03-21,incineration,0.94,7
100,2023-03-21,landfill,2.906,22
100,2023-03-21,recycled,1.434,10
100,2023-03-21,reused,0.89,7
100,2023-03-22,incineration,2.202,16
100,2023-03-22,landfill,2.508,16
100,2023-03-22,recycled,0.596,4
100,2023-03-22,reused,0.099,1
100,2023-03-23,incineration,1.735,12
100,2023-03-23,landfill,1.43,12
100,2023-03-23,recycled,1.337,14
100,2023-03-23,reused,0.894,7
100,2023-03-24,incineration,2.263,15
100,2023-03-24,landfill,2.606,20
100,2023-03-24,recycled,0.8370000000000001,6
100,2023-03-24,reused,0.446,3
100,2023-03-25,incineration,0.725,4
100,2023-03-25,landfill,1.368,9
100,2023-03-25,recycled,0.18,2
200,2023-03-18,incineration,1.906,13
200,2023-03-18,landfill,1.4,10
200,2023-03-18,recycled,0.596,5
200,2023-03-18,reused,0.254,3
200,2023-03-19,incineration,2.371,17
200,2023-03-19,landfill,1.603,15
200,2023-03-19,recycled,2.279,15
200,2023-03-19,reused,1.028,8
200,2023-03-20,incineration,0.6,6
200,2023-03-20,landfill,3.4290000000000003,22
200,2023-03-20,recycled,1.5110000000000001,14
200,2023-03-20,reused,0.41900000000000004,4
200,2023-03-21,incineration,1.612,12
200,2023-03-21,landfill,2.7279999999999998,18
200,2023-03-21,recycled,2.2560000000000002,14
200,2023-03-21,reused,0.995,6
200,2023-03-22,incineration,1.883,13
200,2023-03-22,landfill,2.769,24
200,2023-03-22,recycled,1.909,13
200,2023-03-22,reused,0.143,4
200,2023-03-23,incineration,2.106,13
200,2023-03-23,landfill,2.158,20
200,2023-03-23,recycled,1.383,9
200,2023-03-23,reused,0.09,1
200,2023-03-24,incineration,2.424,17
200,2023-03-24,landfill,3.096,19
200,2023-03-24,recycled,1.114,12
200,2023-03-24,reused,1.905,10
200,2023-03-25,incineration,0.28200000000000003,4
200,2023-03-25,landfill,0.84,6
200,2023-03-25,recycled,0.07,1
